id,parish,admin1_code,area_sq_miles,population_2010,percent_afam_2010,median_income_2011,waste_sites_2011,waste_sites_p_sq_mile_2011,releasing_facilities_2014,facilities_p_sq_mile_2014,releases_2014,avg_pounds_toxics_2010_2013,toxics_pp
49,St Landry,LA-49-St Landry,923.88,82328,41.47,33750,5,0.005411958,3,0.003247175,25,"397,298",4.82579742
50,St Martin,LA-50-St Martin,737.65,51440,30.74,38826,5,0.006778282,5,0.006778282,14,"24,226",0.470946734
51,St Mary,LA-51-St Mary,555.38,53575,32.4,38813,9,0.016205121,13,0.023407397,51,"680,821",12.70781615
52,St Tammany,LA-52-St Tammany,845.55,229493,11.81,57694,11,0.013009284,2,0.002365324,8,"62,695",0.273188071
53,Tangipahoa,LA-53-Tangipahoa,791.28,119461,30,38420,8,0.010110201,5,0.006318876,18,"114,086",0.955002051
54,Tensas,LA-54-Tensas,602.78,5210,55.86,26903,0,0,0,0,0,No Data,No Data
55,Terrebonne,LA-55-Terrebonne,1231.82,109487,18.96,45054,6,0.004870842,5,0.004059035,24,"101,338",0.925566506
56,Union,LA-56-Union,876.99,22543,26.92,34958,2,0.002280528,1,0.001140264,3,"24,052",1.066949829
57,Vermilion,LA-57-Vermilion,1173.2,57185,14.52,39091,9,0.007671326,7,0.005966587,43,"58,985",1.031468042
58,Vernon,LA-58-Vernon,1327.91,50211,14.47,45726,1,0.000753063,1,0.000753063,3,"132,006",2.629030491
59,Washington,LA-59-Washington,669.53,46649,30.95,29443,3,0.004480755,1,0.001493585,15,"3,225,702",69.14835259
60,Webster,LA-60-Webster,593.03,40726,33.31,35908,4,0.006745021,2,0.003372511,13,"65,478",1.607762854
61,West Baton Rouge,LA-61-West Baton Rouge,192.39,23515,37.71,46155,6,0.031186652,12,0.062373304,99,"1,216,370",51.72740804
62,West Carroll,LA-62-West Carroll,359.65,11492,16.22,27781,1,0.002780481,0,0,0,No Data,No Data
63,West Feliciana,LA-63-West Feliciana,403.21,15536,46.17,49479,0,0,1,0.002480097,10,"347,235",22.35036367
64,Winn,LA-64-Winn,950.09,15142,30.57,33875,2,0.002105064,5,0.005262659,11,"104,070",6.872919694
