Indicator ID,Dimension List,Timeframe,Numeric Value,Locale,Locale Level,Locale State FIPS Code,Locale County FIPS Code,Locale County SSA Code,Locale HRR Code,Total,Age,Sex,Race Ethnicity,Income And Poverty Status,Educational Attainment,Health Insurance Status,Sexual Orientation,Marital Status,Family Type,Veteran Status,Country Of Birth,Disability Status,Obesity Status,Characteristic Of School Or Student,Other,Geography,Modifier1,Modifier2,Modifier3,Modifier4,Modifier5,Numerator,Denominator
91546446,Total,2010,"5,895,262",Louisiana - Iberville,County,22,22047,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784862,Total,2008,"7,494,510",Louisiana - Iberville,County,22,22047,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"6,976,690",Louisiana - Iberville Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390659,Total,2013,"944,640",Louisiana - Jackson,County,22,22049,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862995,Total,2012,"892,264",Louisiana - Jackson,County,22,22049,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549724,Total,2011,"980,714",Louisiana - Jackson,County,22,22049,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546447,Total,2010,"1,222,969",Louisiana - Jackson,County,22,22049,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784863,Total,2008,"917,416",Louisiana - Jackson,County,22,22049,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"1,010,147",Louisiana - Jackson Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390660,Total,2013,"16,048,622",Louisiana - Jefferson,County,22,22051,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862996,Total,2012,"19,681,260",Louisiana - Jefferson,County,22,22051,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549725,Total,2011,"16,535,680",Louisiana - Jefferson,County,22,22051,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546448,Total,2010,"19,906,086",Louisiana - Jefferson,County,22,22051,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784864,Total,2008,"23,042,800",Louisiana - Jefferson,County,22,22051,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"18,042,912",Louisiana - Jefferson Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390661,Total,2013,758,Louisiana - Jefferson Davis,County,22,22053,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862997,Total,2012,267,Louisiana - Jefferson Davis,County,22,22053,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549726,Total,2011,NA,Louisiana - Jefferson Davis,County,22,22053,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546449,Total,2010,NA,Louisiana - Jefferson Davis,County,22,22053,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784865,Total,2008,NA,Louisiana - Jefferson Davis,County,22,22053,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,,Louisiana - Jefferson Davis Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390664,Total,2013,NA,Louisiana - La Salle,County,22,22059,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863000,Total,2012,NA,Louisiana - La Salle,County,22,22059,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549729,Total,2011,NA,Louisiana - La Salle,County,22,22059,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546452,Total,2010,NA,Louisiana - La Salle,County,22,22059,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784868,Total,2008,NA,Louisiana - La Salle,County,22,22059,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,,Louisiana - La Salle Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390662,Total,2013,"160,370",Louisiana - Lafayette,County,22,22055,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862998,Total,2012,"317,673",Louisiana - Lafayette,County,22,22055,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549727,Total,2011,"332,519",Louisiana - Lafayette,County,22,22055,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546450,Total,2010,"237,925",Louisiana - Lafayette,County,22,22055,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784866,Total,2008,"54,029",Louisiana - Lafayette,County,22,22055,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"262,122",Louisiana - Lafayette Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390663,Total,2013,"187,042",Louisiana - Lafourche,County,22,22057,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862999,Total,2012,"273,301",Louisiana - Lafourche,County,22,22057,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549728,Total,2011,"208,882",Louisiana - Lafourche,County,22,22057,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546451,Total,2010,"184,617",Louisiana - Lafourche,County,22,22057,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784867,Total,2008,"2,632,450",Louisiana - Lafourche,County,22,22057,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"213,461",Louisiana - Lafourche Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390665,Total,2013,"92,269",Louisiana - Lincoln,County,22,22061,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863001,Total,2012,"71,880",Louisiana - Lincoln,County,22,22061,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549730,Total,2011,"69,851",Louisiana - Lincoln,County,22,22061,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546453,Total,2010,"92,325",Louisiana - Lincoln,County,22,22061,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784869,Total,2008,"183,114",Louisiana - Lincoln,County,22,22061,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"81,581",Louisiana - Lincoln Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390666,Total,2013,"289,255",Louisiana - Livingston,County,22,22063,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863002,Total,2012,"62,728",Louisiana - Livingston,County,22,22063,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549731,Total,2011,"40,329",Louisiana - Livingston,County,22,22063,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546454,Total,2010,"46,713",Louisiana - Livingston,County,22,22063,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784870,Total,2008,"98,521",Louisiana - Livingston,County,22,22063,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"109,756",Louisiana - Livingston Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390667,Total,2013,"2,610",Louisiana - Madison,County,22,22065,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863003,Total,2012,"2,500",Louisiana - Madison,County,22,22065,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549732,Total,2011,"2,500",Louisiana - Madison,County,22,22065,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546455,Total,2010,"2,512",Louisiana - Madison,County,22,22065,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784871,Total,2008,"2,388",Louisiana - Madison,County,22,22065,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"2,531",Louisiana - Madison Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390668,Total,2013,---,Louisiana - Morehouse,County,22,22067,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863004,Total,2012,---,Louisiana - Morehouse,County,22,22067,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549733,Total,2011,---,Louisiana - Morehouse,County,22,22067,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546456,Total,2010,---,Louisiana - Morehouse,County,22,22067,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784872,Total,2008,"1,543,830",Louisiana - Morehouse,County,22,22067,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,#DIV/0!,Louisiana - Morehouse Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390669,Total,2013,"2,462,140",Louisiana - Natchitoches,County,22,22069,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863005,Total,2012,"2,378,414",Louisiana - Natchitoches,County,22,22069,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549734,Total,2011,"1,902,626",Louisiana - Natchitoches,County,22,22069,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546457,Total,2010,"1,923,153",Louisiana - Natchitoches,County,22,22069,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784873,Total,2008,"1,719,470",Louisiana - Natchitoches,County,22,22069,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"2,166,583",Louisiana - Natchitoches Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390670,Total,2013,"3,268",Louisiana - Orleans,County,22,22071,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863006,Total,2012,"13,950",Louisiana - Orleans,County,22,22071,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549735,Total,2011,"28,543",Louisiana - Orleans,County,22,22071,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546458,Total,2010,"67,636",Louisiana - Orleans,County,22,22071,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784874,Total,2008,"186,047",Louisiana - Orleans,County,22,22071,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"28,349",Louisiana - Orleans Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390671,Total,2013,"11,185,120",Louisiana - Ouachita,County,22,22073,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863007,Total,2012,"11,972,146",Louisiana - Ouachita,County,22,22073,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549736,Total,2011,"10,841,792",Louisiana - Ouachita,County,22,22073,,,Total,,,,,,,,,,,,,,,,,,,,,,,
